medicine_id,drug_id,amount,unit
686,590,25000,iu
687,226,500,mg
687,591,0.2,mg
688,226,500,mg
688,591,0.3,mg
689,592,4,mg
690,593,10,mg
691,594,50,mg
691,191,40,mg
692,373,100,mg
693,595,5,mg
694,528,400,mg
694,596,10,mg
695,597,25,mg
696,598,0.5,%w/v
697,599,75,mg
698,600,100,mg
699,601,5,mg
700,602,20,mg
700,226,500,mg
701,602,20,mg
701,226,1000,mg
702,558,200,mg
703,427,50,mg
703,507,750,mg
704,183,10,mg
705,603,200,mg
706,604,100,mg
707,594,25,mg
707,282,5,mg
708,307,20,mg
708,144,20,mg
709,490,0.1,%w/w
710,332,50/1,mg/ml
711,256,250,mg
712,256,500,mg
713,605,30/1,mg/ml
714,358,200/1,mg/ml
716,606,150,mg
717,606,450,mg
718,607,500,mg
719,608,25,mg
720,609,100,mg
721,610,0.2,mg
722,611,500,mg
723,612,1,g
724,613,10/1,mg/ml
725,614,80,mg
726,614,120,mg
727,615,150,mg
728,616,250,mg
729,617,100,mg
730,617,500,mg
731,618,100,mg
732,618,250,mg
734,619,75,mg
735,210,50,mcg
736,620,80,mg
736,621,480,mg
737,622,50,mg
737,146,0.5,mg
737,379,61.8,mg
738,623,120,mg
739,624,40/1,mg/ml
740,625,4,mg
741,528,300,mg
741,626,10,mg
742,627,200,mg
742,546,150,mg
743,628,1.83/5,mg/ml
744,112,400,mg
745,629,2.5,mg
746,630,80,mg
746,226,500,mg
747,631,250,mg
748,632,150,mg
749,633,32,mg
749,146,0.5,mg
749,634,7.5,mcg
750,634,100,mg
751,635,82,mg
751,143,200,iu
751,634,2.5,mcg
752,636,15,mg
752,637,150,mg
752,415,85,mg
752,346,2.6,mg
753,359,200,mg
753,638,10,mg
754,639,5,mg
755,640,2.5,mg
755,185,25,mg
756,36,500,mg
757,641,10,mg
758,505,6.25,mg
759,642,10,mg
759,191,40,mg
760,643,1,mg
761,644,150,mg
761,133,10,mg
762,645,5,mg
763,646,80,mg
